"NUTS3","Live_in","Sex","Age","Edu","Children","Garden_size","Pond","G_experience","Garden_type","Garea_Vege","Garea_Herb","Garea_Frui","Garea_Grap","Garea_Orna","Garea_Egree","Garea_Lawn","Garea_Undis","Habi_Beau","Habi_Cons","Habi_Mone","Habi_Produ","Moti_Pastime","Knowledge_Plant","Knowledge_Bird","Knowledge_Insect","Mowing","Unmowpatch","Plat_Oplants","Get_Seeds_Plants","Fertiliser","Herbic","Growing","Pesticide","Observing_polli","Support_Polli","Polli_Friendly","Biodiw_Network","NOMowMay","Information","ID"
"HU333","City","Female","36-55","High",0,"Large",0,"Long ago","House garden",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,"Very often",1,1,"Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;I get them from friends","I use compost",0,"Only for own use","No","Bumblebees;Honeybees;Wasps;Ants;Beetles","I do not support them actively",1,"Maybe","Did not heard about it","Internet;Social media platforms","ID_1"
"HU221","Town","Female","36-55","High",0,"Large",0,"Long ago","Orchard",1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,"Often",1,1,"Supermarkets;I get them from friends","I use compost;I do not fertilize",0,"Only for own use","No","Bumblebees;Honeybees;Other wild bees;Wasps;Ants","I do not support them actively",1,"No","Did not joint","Internet;Consulting with professional gardeners/agronomists;TV, radio","ID_2"
"HU331","Town","Female","36-55","High",1,"Large",0,"Middle","House garden",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,"Often",1,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Collecting in nature in my country;Collecting in nature abroad;I get them from friends","I use compost",0,"Only for own use","No","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats;Providing food sources;Water sources",1,"Maybe","Did not heard about it","Gardening journals/magazines, books;Internet;Consulting with other garden owners;Consulting with professional gardeners/agronomists;TV, radio","ID_3"
"HU222","Countryside","Female","Under 36","Middle",0,"Large",0,"Middle","House garden",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"Very often",0,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Supermarkets;I get them from friends","I use compost",0,"Only for own use","No","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating artificial habitats;Providing food sources;Water sources",1,"Yes","Did not heard about it","Internet;Social media platforms;Consulting with other garden owners","ID_4"
"HU120","Countryside","Female","36-55","High",0,"Small",0,"Newly","Kitchen garden",1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,"Often",1,1,"Markets or producers/growers;Webshops","I use compost",0,"Only for own use","Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats;Creating artificial habitats;Providing food sources;Water sources",1,"Maybe","Jointed","Gardening journals/magazines, books;Internet;Consulting with professional gardeners/agronomists","ID_5"
"HU120","City","Female","36-55","High",0,"Medium",0,"Newly","Flower garden",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,"Very often",0,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Webshops;I get them from friends","I use animal manure;I use compost",0,"Only for own use","Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Wasps;Ants;Other flies;Beetles","Creating/preserving natural habitats;Creating artificial habitats;Providing food sources;Water sources",1,"Yes","Did not joint","Gardening journals/magazines, books;Internet;Social media platforms;TV, radio","ID_6"
"HU211","Countryside","Female","Under 36","Middle",1,"Medium",0,"Middle","Flower garden",1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,"Very often",0,1,"Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Webshops","I do not fertilize",1,"Only for own use","No","Butterflies;Bumblebees;Honeybees;Wasps;Ants;Other flies;Beetles","I do not support them actively",0,"No","Did not heard about it","Internet;Social media platforms","ID_7"
"HU120","City","Female","Over 55","Middle",0,"Medium",0,"Long ago","Flower garden",1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,"Often",0,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;I get them from friends;I get them from people who I do not know","I use compost",0,"Only for own use","No","Butterflies;Bumblebees;Honeybees;Other wild bees;Ants;Hoverflies;Other flies;Beetles","Creating artificial habitats;Providing food sources;Water sources",1,"Yes","Jointed","Internet;Consulting with professional gardeners/agronomists","ID_8"
"HU211","Countryside","Male","Under 36","High",1,"Large",0,"Newly","House garden",1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,"Often",1,1,"Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Supermarkets;Webshops;I get them from friends","I do not fertilize",1,"Only for own use","Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","I do not support them actively",1,"Maybe","Did not heard about it","Gardening journals/magazines, books;Internet;Social media platforms","ID_9"
"HU233","Countryside","Male","Under 36","Middle",0,"Large",0,"Newly","CG and other",1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,"Often",1,1,"Collecting in nature in my country;Webshops","I use compost",1,"Only for own use","Eco/Bio/Green labelled pesticides","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats;Creating artificial habitats;Providing food sources;Water sources",1,"Yes","Did not heard about it","Gardening journals/magazines, books;Internet;Social media platforms;TV, radio","ID_10"
